mcvopt : rwll : avg,mcvopt : rwll : std,random : rwll : avg,random : rwll : std,unc : rwll : avg,unc : rwll : std,unc : rwll0010 : avg,unc : rwll0010 : std,uncnorm : rwll : avg,uncnorm : rwll : std,uncnorm : rwll0010 : avg,uncnorm : rwll0010 : std,uncnormdecaytau : rwll0010 : avg,uncnormdecaytau : rwll0010 : std,uncnormdecaytaukde : rwll0010 : avg,uncnormdecaytaukde : rwll0010 : std,uncnormkde : rwll0010 : avg,uncnormkde : rwll0010 : std,uncnormprop : rwll0010 : avg,uncnormprop : rwll0010 : std,uncnormprop++ : rwll0010 : avg,uncnormprop++ : rwll0010 : std,uncnormprop++decaytau : rwll0010 : avg,uncnormprop++decaytau : rwll0010 : std,uncnormprop++decaytaukde : rwll0010 : avg,uncnormprop++decaytaukde : rwll0010 : std,uncnormprop++kde : rwll0010 : avg,uncnormprop++kde : rwll0010 : std,uncnormprop++switchK : rwll0010 : avg,uncnormprop++switchK : rwll0010 : std,uncnormprop++switchKkde : rwll0010 : avg,uncnormprop++switchKkde : rwll0010 : std,uncnormpropdecaytau : rwll0010 : avg,uncnormpropdecaytau : rwll0010 : std,uncnormpropswitchK : rwll0010 : avg,uncnormpropswitchK : rwll0010 : std,uncnormswitchK : rwll0010 : avg,uncnormswitchK : rwll0010 : std,voptfull : rwll0100 : avg,voptfull : rwll0100 : std
98.60667634252539,0.7272358944988325,94.92743105950653,3.7417255387273447,99.99516207063377,0.014513788098696526,96.81422351233671,1.1731380191117868,99.9854862119013,0.04354136429608104,96.6424770198355,1.4463224290703278,99.937106918239,0.08462920021546051,99.937106918239,0.08462920021546051,96.6424770198355,1.4463224290703278,96.49733913884856,1.5767790790544887,96.98355104015482,1.0454881774551767,99.78471214320271,0.2482121809353689,99.79680696661829,0.20330818954475197,97.33913884857282,1.348776183788165,99.65166908563134,0.30486633293058907,99.52830188679245,0.38737436685089327,98.65989356555396,0.7946731587708612,98.77116594097726,0.7700366686338103,99.8935655539429,0.2565015218541163,95.1862602805999,0.36332817330466965
98.96443261553351,0.6042871446160772,95.01330752480038,3.6185411206982634,99.99516090007259,0.014517299782235682,97.07960319380598,0.9534408479580254,100.0,0.0,96.95862569562063,1.0731488300084693,99.80643600290345,0.37169831830963646,99.80643600290345,0.37169831830963646,96.95862569562063,1.0731488300084693,96.74328574885071,1.6339828378731385,97.31671909024922,0.7206401194645712,99.8524074522139,0.20600304724155538,99.83789015243164,0.20645723668029795,96.66102105008468,1.3013490492308035,99.70481490442776,0.2654456937218074,99.76772320348415,0.34713586130096813,98.56278732155818,0.6539233852149176,98.79506411807405,0.6581709603898694,99.97096540043552,0.04934932991621325,96.01742075973868,0.2373626608938896
99.39496611810262,0.4488682718052161,94.41190706679575,3.6892971774101446,100.0,0.0,96.94578896418201,0.8366671390330405,99.99515972894483,0.014520813165535175,96.90706679574058,0.8475866075449162,99.98547918683445,0.043562439496609776,99.98547918683445,0.043562439496609776,96.90706679574058,0.8475866075449162,97.00145208131656,1.5848266325924698,97.5048402710552,0.7286537358696953,99.91529525653436,0.09199698842569692,99.84269119070669,0.24134709784988126,96.82478218780253,1.4958630402818396,99.90077444336882,0.13053036360272838,99.92981606969991,0.06968141359578177,98.83833494675703,0.6322994865109226,98.94724104549854,0.5517962075796492,99.99273959341723,0.021781219748302754,95.79622458857696,0.21728720208400365
99.4795449043815,0.3141812857616455,95.44420237230693,2.82384800588354,100.0,0.0,96.55047204066811,0.9038242311465691,99.99515855725005,0.014524328249818553,97.05398208666182,0.8856698028593858,99.89348825950132,0.17192235201709183,99.89348825950132,0.17192235201709183,97.05398208666182,0.8856698028593858,97.2887920600339,1.3600490803286505,97.28152989590899,1.1722416679527652,99.92495763737595,0.10123710320177506,99.90559186637617,0.17538122185117616,97.17017671266038,1.1622210802250719,99.92253691600096,0.08510479705276104,99.93948196562576,0.07362336637979122,98.79206003389008,0.6162578510842954,98.8961510530138,0.6060705145242249,100.0,0.0,94.79544904381505,0.3443896246677105
99.59322033898306,0.2969040398250754,95.36561743341403,2.7297318688330936,100.0,0.0,97.10169491525423,0.6014451813160665,100.0,0.0,97.31234866828088,0.6205353406156487,99.99515738498789,0.0145278450363179,99.99515738498789,0.0145278450363179,97.31234866828088,0.6205353406156487,97.0774818401937,1.2193417078848148,97.62711864406779,1.0202873838785533,99.94430992736076,0.10102976292990068,99.90072639225181,0.1744181933506265,96.98547215496367,1.308055216034088,99.88861985472155,0.1702508070822973,99.9588377723971,0.05526737147948164,98.87409200968523,0.5617485597152655,99.06779661016948,0.6136235301440242,100.0,0.0,95.15980629539952,0.4155135821061463
99.65609106321142,0.2692117845791313,95.58730927585371,2.3373923958166296,100.0,0.0,97.4812303221119,0.8183708214599,100.0,0.0,97.59505933640106,0.8202357974831502,99.97093727294745,0.05912596568531864,99.97093727294745,0.05912596568531864,97.59505933640106,0.8202357974831502,96.85153790263985,1.2763633720738687,97.42794865584888,1.053999775584707,99.92492128844756,0.13152021295601948,99.88374909178978,0.18753655299206562,97.85662387987406,0.8069850850833706,99.91523371276337,0.1513441491883559,99.96609348510535,0.05328166626301629,99.05303947687091,0.5071482881331231,99.0942116735287,0.5995545029266767,99.98789053039476,0.03632840881569735,95.67207556309035,0.5505801773466519
99.78682170542636,0.19674360953727485,96.16036821705426,2.144798456480268,100.0,0.0,97.33527131782947,1.011193437844542,100.0,0.0,97.53633720930232,0.8648662943970374,99.95639534883722,0.13081395348837646,99.95639534883722,0.13081395348837646,97.53633720930232,0.8648662943970374,97.41763565891473,1.2374205531358378,97.76889534883722,0.9415599747554727,99.94912790697674,0.0889746495746419,99.92490310077518,0.16834061679352488,98.12015503875969,1.0518253518617338,99.91763565891472,0.16650039028526922,99.97577519379846,0.04964607929243764,99.11821705426357,0.45141416749582813,99.1375968992248,0.5296542119342612,99.9830426356589,0.026647286821702726,95.7751937984496,0.5496629346119325
99.7916161860916,0.18332231954812517,96.37024472982797,2.204666644508923,100.0,0.0,97.34674097407316,0.9549622679398421,100.0,0.0,97.552701720378,0.6855183288493081,99.98788466198206,0.029177597719387653,99.98788466198206,0.029177597719387653,97.552701720378,0.6855183288493081,97.63023988369274,1.1558210260958781,97.53089411194571,0.7296974652859426,99.97092318875697,0.04821843649657104,99.95153864792829,0.13749707738416267,98.09789193118488,1.1038795013242466,99.98788466198206,0.029177597719387653,99.99515386479283,0.014538405621517826,99.15677247395202,0.480452208798804,99.18100314998789,0.488451004366757,100.0,0.0,94.70559728616426,0.48537013869663753
99.86669898206496,0.11736597200972736,96.34512845370818,2.199680107273557,100.0,0.0,97.24188075618034,1.0786108339738238,100.0,0.0,97.76539020843433,0.7808382600663639,99.99030538051382,0.029083858458557193,99.99030538051382,0.029083858458557193,97.76539020843433,0.7808382600663639,97.58361609306834,1.1752627104443483,97.46243334949102,0.9321497628872671,99.97091614154144,0.06663949144385596,99.95879786718372,0.09389903358124473,97.70964614638875,1.0951729124036629,99.97091614154144,0.05505485550945447,99.98545807077072,0.031037926502340767,99.28017450315073,0.4235575259391332,99.27290353853611,0.4610043863542658,100.0,0.0,95.43868153174986,0.5655794811544769
99.92727272727272,0.07817946907440827,96.16484848484848,2.2472557287448365,100.0,0.0,97.41333333333334,0.7237936989508491,100.0,0.0,97.72848484848484,0.4344807863634537,100.0,0.0,100.0,0.0,97.72848484848484,0.4344807863634537,97.67272727272727,1.0838830984779735,97.73818181818181,0.8613432608661207,99.96363636363635,0.06705123241667621,99.96363636363637,0.08757523330030938,97.84969696969696,1.1865447054050255,99.98787878787878,0.029191744433435876,100.0,0.0,99.32848484848483,0.41835569507693116,99.2169696969697,0.45689734979106733,100.0,0.0,94.38303030303031,0.37353005442811194
