mcvopt : rwll : avg,mcvopt : rwll : std,random : rwll : avg,random : rwll : std,unc : laplace : avg,unc : laplace : std,unc : rwll : avg,unc : rwll : std,unc : rwll0010 : avg,unc : rwll0010 : std,uncnorm : rwll : avg,uncnorm : rwll : std,uncnorm : rwll0010 : avg,uncnorm : rwll0010 : std,uncnormdecaytau : rwll0010 : avg,uncnormdecaytau : rwll0010 : std,uncnormdecaytaukde : rwll0010 : avg,uncnormdecaytaukde : rwll0010 : std,uncnormkde : rwll0010 : avg,uncnormkde : rwll0010 : std,uncnormprop : rwll0010 : avg,uncnormprop : rwll0010 : std,uncnormprop++ : rwll0010 : avg,uncnormprop++ : rwll0010 : std,uncnormprop++decaytau : rwll0010 : avg,uncnormprop++decaytau : rwll0010 : std,uncnormprop++decaytaukde : rwll0010 : avg,uncnormprop++decaytaukde : rwll0010 : std,uncnormprop++kde : rwll0010 : avg,uncnormprop++kde : rwll0010 : std,uncnormprop++switchK : rwll0010 : avg,uncnormprop++switchK : rwll0010 : std,uncnormprop++switchKkde : rwll0010 : avg,uncnormprop++switchKkde : rwll0010 : std,uncnormpropdecaytau : rwll0010 : avg,uncnormpropdecaytau : rwll0010 : std,uncnormpropswitchK : rwll0010 : avg,uncnormpropswitchK : rwll0010 : std,uncnormswitchK : rwll0010 : avg,uncnormswitchK : rwll0010 : std,vopt : rwll0100 : avg,vopt : rwll0100 : std,voptfull : laplace : avg,voptfull : laplace : std
3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8314520266803482,0.008213345609841896,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735,3.8340174448435094,0.0038481272447407735
7.670301475304683,0.003848620910839972,7.130211674150097,0.8311556028284841,7.5766516998075675,0.16836464109324328,7.640795381654906,0.07216092936715936,7.670301475304683,0.003848620910839972,7.640795381654906,0.07216092936715936,7.670301475304683,0.003848620910839972,7.670301475304683,0.003848620910839972,7.670301475304683,0.003848620910839972,7.670301475304683,0.003848620910839972,7.660038486209109,0.022550860591721282,7.670301475304683,0.003848620910839972,7.662604233483,0.022984570708362673,7.662604233483,0.022984570708362673,7.662604233483,0.022984570708362673,7.670301475304683,0.003848620910839972,7.670301475304683,0.003848620910839972,7.662604233483,0.018187872839971347,7.662604233483,0.016277841616997253,7.670301475304683,0.003848620910839972,6.890314304041051,1.1801105706162265,7.423989737010904,0.24354672655761883
11.039260969976906,1.1267851863607075,9.842186297151656,1.277540827254187,8.165255324608674,1.2068773511909965,11.3061329227611,0.25003120152962366,11.45368231973313,0.11661540089699281,11.358737490377216,0.18970317983605306,11.45753143443675,0.11773230430540912,11.460097510905827,0.11019199668249399,11.460097510905827,0.11019199668249399,11.45753143443675,0.11773230430540912,11.456248396202207,0.04570570472300967,11.440851937387736,0.11829723848457335,11.45111624326405,0.10951015069730924,11.439568899153196,0.10707029019771679,11.42545547857326,0.1160777390627005,11.445984090325894,0.1161060991264174,11.435719784449578,0.11576531981993378,11.426738516807802,0.07975504371526895,11.458814472671287,0.07245474931226842,11.45753143443675,0.11773230430540912,10.05901975878881,1.4663729419103915,10.074416217603284,1.5976458865440357
14.615680739124858,1.164594096313453,13.631464134479662,1.4740091709283698,9.350699345566534,2.2641462926254357,14.72346978057231,0.7576593106721958,15.099448222764016,0.5518980825531123,14.152444501475681,1.4143369874859932,15.103297831387142,0.553475612028205,15.105864237135894,0.5535589067556741,15.105864237135894,0.5535589067556741,15.103297831387142,0.553475612028205,14.833825227768509,0.7210412751079666,15.08148338252278,0.5545470752278038,15.09688181701527,0.5505000153719113,15.084049788271525,0.5450592078954805,15.075067368150906,0.5223691790851522,14.915950211728475,0.7836829979740422,14.908250994482227,0.7714557624768539,14.842807647889131,0.7884767425420289,14.506608494803029,0.8352310239106103,15.103297831387142,0.553475612028205,12.033876555883484,1.7487357701744801,10.053894520723727,1.4884627884016046
17.34471252566735,1.8996462753854102,15.589065708418891,1.9581939104748411,11.668377823408624,2.521944928870096,18.289271047227924,0.781305272448257,17.825975359342912,0.9286119873941048,15.662217659137578,2.441943278611085,17.88501026694045,0.8853041123065588,17.897843942505137,0.8723728135000375,17.897843942505137,0.8723728135000375,17.88501026694045,0.8853041123065588,18.531827515400416,0.645445850685135,18.422741273100616,0.6030803464995688,18.402207392197127,0.7567832512873535,18.493326488706366,0.6498454261382011,18.507443531827516,0.6526640122114852,18.312371663244356,0.7777133269955337,18.50231006160164,0.6879149388965712,18.05313141683778,0.6833025385454766,18.28670431211499,0.7946615640369687,17.88501026694045,0.8853041123065588,14.582905544147843,2.2514089646356497,13.802618069815196,1.4080390396774203
20.3273007316134,2.389481071677765,17.239122063919908,3.1347918349115096,13.33718393017584,3.2955223090991863,20.412013862148633,2.4930614840795107,20.480041073032986,0.9702723026445165,16.73084328070851,2.9541172336555035,20.5082787832114,0.9695521127514323,20.572455397253243,0.9530830037369249,20.572455397253243,0.9530830037369249,20.5082787832114,0.9695521127514323,21.65832370684123,1.4379709506634601,21.886792452830186,0.712951058386784,21.953536131433708,0.7524871514999942,21.51200102682583,1.3989206493347,21.689128481581314,1.2656148981090856,21.75587216018483,0.9453108504580663,21.9252984212553,0.6956176585139661,21.56205878577846,0.5833636566042957,21.77384161211655,1.2064684553956868,20.5082787832114,0.9695521127514323,17.792324476960598,2.2604005633488353,16.96444615582082,1.8884598714441903
23.252888318356863,2.5957116127215563,18.18870346598203,4.515762499106587,14.353016688061619,4.177898291345645,22.050064184852378,2.8178717487502154,23.43132220795892,1.22579356578184,17.414634146341463,3.707201503075619,23.45827984595635,1.2311344034264142,23.495507060333757,1.233018244769835,23.495507060333757,1.233018244769835,23.45827984595635,1.2311344034264142,24.304236200256742,1.7213515843729144,25.319640564826702,0.8569136929807574,25.282413350449296,0.7049180126831479,24.550706033376123,1.9390476547231241,25.024390243902438,1.639861555514517,25.11681643132221,1.2928964337806221,25.423620025673944,0.764166425827685,24.79589216944801,1.4286942608332354,25.415917843388957,1.2774230506389752,23.45827984595635,1.2311344034264142,21.36456996148909,2.0958574605147113,20.011553273427474,1.84979319198563
25.801771729361924,3.1834392237090117,19.644370265759402,4.914164523269764,15.962254461419954,5.428589540521686,24.022339196302482,2.499158050163535,25.696495057131852,2.0291455933859397,19.37604313775838,3.2769567277826073,25.71960457054821,2.036287876079401,25.735010912825782,2.0485805241801254,25.735010912825782,2.0485805241801254,25.71960457054821,2.036287876079401,26.878931826935418,1.900533624150607,27.5439722685839,1.3318691565501553,27.812299396584926,1.5686149345467095,27.208884324046732,2.772904144790255,27.371934779817696,2.3584580742194587,27.525998202593406,2.152244204812457,27.938117858518428,1.3952152752903242,27.206316600333803,1.5734558579668165,28.15509051226088,1.4441363025806517,25.71960457054821,2.036287876079401,24.326614456284503,2.0250030364306553,22.896392348183337,1.2867114351369027
29.72521828454032,3.2778563779636296,21.955572675911657,4.392517991866601,16.899075500770415,5.297753063414934,24.718798151001536,3.249772161104437,28.95865434001027,1.8725322963170898,21.05161787365177,4.136129863077408,28.97277863379558,1.880809431635453,28.931689779147405,1.811741209260916,28.931689779147405,1.811741209260916,28.97277863379558,1.880809431635453,29.22573189522342,1.4700333852305054,30.282485875706215,0.3513731519555928,29.736774524910118,1.2902577369382102,29.800975860297893,2.0593839045139446,29.60837185413456,1.3503718861451037,30.155367231638415,1.3428028150502747,30.14766307139189,0.5810969228804043,28.980482794042114,2.514667225005385,30.11941448382126,1.7434893657134483,28.97277863379558,1.880809431635453,27.76579352850539,2.198966123062295,26.55238828967643,1.2440814107598992
32.30512392448953,3.4689778139467156,22.05727494542186,3.9940349044064245,19.12161294465134,5.45388175200643,26.861435726210352,3.937144010380409,31.774752793116733,2.6205064794361554,21.37922177988956,3.7253369129513825,31.790163092333376,2.636644265355538,31.734942853473733,2.598188431655528,31.734942853473733,2.598188431655528,31.790163092333376,2.636644265355538,31.70797482984461,1.4811294969632252,31.630923333761398,1.9505128783987153,32.61076152561962,1.4627410233555445,32.64671889045846,1.6406300362438375,32.491331706690644,1.3887859777786316,32.48362655708232,1.5967026112214031,32.874020803903946,1.6127774728319204,30.042378322845764,3.4348090098074393,33.01014511365096,2.0726331284009505,31.790163092333376,2.636644265355538,30.50340310774368,2.585164453217846,26.30794914601259,1.195474095600024
