mcvopt : rwll : avg,mcvopt : rwll : std,random : rwll : avg,random : rwll : std,unc : rwll : avg,unc : rwll : std,unc : rwll0010 : avg,unc : rwll0010 : std,uncnorm : rwll : avg,uncnorm : rwll : std,uncnorm : rwll0010 : avg,uncnorm : rwll0010 : std,uncnormdecaytau : rwll0010 : avg,uncnormdecaytau : rwll0010 : std,uncnormdecaytaukde : rwll0010 : avg,uncnormdecaytaukde : rwll0010 : std,uncnormkde : rwll0010 : avg,uncnormkde : rwll0010 : std,uncnormprop : rwll0010 : avg,uncnormprop : rwll0010 : std,uncnormprop++ : rwll0010 : avg,uncnormprop++ : rwll0010 : std,uncnormprop++decaytau : rwll0010 : avg,uncnormprop++decaytau : rwll0010 : std,uncnormprop++decaytaukde : rwll0010 : avg,uncnormprop++decaytaukde : rwll0010 : std,uncnormprop++kde : rwll0010 : avg,uncnormprop++kde : rwll0010 : std,uncnormprop++switchK : rwll0010 : avg,uncnormprop++switchK : rwll0010 : std,uncnormprop++switchKkde : rwll0010 : avg,uncnormprop++switchKkde : rwll0010 : std,uncnormpropdecaytau : rwll0010 : avg,uncnormpropdecaytau : rwll0010 : std,uncnormpropswitchK : rwll0010 : avg,uncnormpropswitchK : rwll0010 : std,uncnormswitchK : rwll0010 : avg,uncnormswitchK : rwll0010 : std,vopt : rwll0100 : avg,vopt : rwll0100 : std
46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757,46.32862113433417,5.13534519916757
46.228040293931585,6.210545407073028,48.57778967346342,5.8902227183604605,50.09562509124531,3.709731692717704,51.64971531461384,4.507845755419657,49.70850163024965,3.4580079512481823,51.260401966032404,4.233752600209955,51.427320064236696,4.271623656703927,51.77040245267409,4.434218476751697,51.60372767531267,4.451416792153285,48.254902914983695,5.107902360588654,48.86661151394229,5.623221201457326,49.443281911528544,3.27210697156763,48.67730789819456,5.3603130162246355,50.32361672100832,4.126866681497117,48.72645870845297,5.219117983951963,51.009781497883104,4.932681000757247,48.584845977906475,6.420826288954864,47.7011046766266,6.535738141349793,51.260401966032404,4.233752600209955,48.46318555647476,4.825319088339323
50.420711974110034,4.491828293737808,52.01888215684843,4.931151167723497,53.08124680633622,5.739099266878293,54.509818234907655,3.5154478599685928,51.8568265323503,4.834264515094945,54.04214419544006,2.9358244858332045,53.954303233812695,3.141270711708883,54.223422634255556,3.011090351123725,53.9703628002044,3.300113217582808,49.954741221987,5.6538647179690065,52.72063654281334,7.020007760243565,53.345986325035895,3.4193932193916208,51.35338345864661,7.035316862863672,52.547387887193715,5.024616501930537,51.91741489646447,3.7191704604132525,52.29092147845343,4.551292697626284,50.28225904567243,6.346583364191713,49.472224249945256,6.70618159036847,54.04214419544006,2.9358244858332045,51.38769253230163,4.965235191634832
52.66643955616119,4.833616303214044,53.32246447342808,5.465908184804123,53.68162351567063,5.3498496685979395,56.85103173058205,4.046225150164724,51.56024917266886,5.167847374914103,57.26323729803387,2.967713481640884,57.448656803581855,2.6162361318944436,57.478830056453184,3.164462975296737,57.60730971384076,2.825981203527964,52.97109207708779,4.356823979139648,55.208536110570364,5.689774878114406,55.66186490169359,3.3845587002716755,54.68731750048666,5.718547128436137,55.18201284796574,6.296946658670515,53.68113685030173,4.236120522165846,55.4195055479852,4.64169552899257,53.663373564337164,4.468241067562477,53.15407825579132,4.4807637305290555,57.26323729803387,2.967713481640884,53.80207319447148,4.804132447359731
53.732814210974574,5.011382767213466,55.220343107434,6.418490494780016,54.473780265239085,5.647275363214037,59.588757756418055,4.079696802389163,52.16133349555908,5.539515043573046,59.64594232875045,3.3709621159226026,60.76213651295778,3.521756640122667,60.27497262440686,3.6758246829321912,59.790972137729646,3.4901228276699015,54.947073853266815,4.247209779304015,57.87151721620635,4.709865079484332,59.36196617593382,2.75201543047362,57.302591556150375,3.5547373349212177,57.53668329480472,5.2682210230484845,56.42048911059741,3.5081175742472266,57.58608103175568,5.24533419395826,55.40820051101107,3.7907737551102687,54.14210974571115,5.031556905021701,59.64594232875045,3.3709621159226026,54.622703491908986,3.328489627951746
55.386674453691526,6.366771006105908,57.45583296831654,6.052832477857522,56.165133596145424,5.797003896237903,61.021803669635474,3.8636662131475723,53.230398598335526,5.184788204806934,61.60607387939846,2.728557890354338,63.63362047987541,3.648097951389701,63.14644473645787,3.543494602908727,62.32540030174722,3.02230650311148,56.34180172287925,4.859777550245817,59.712853457925725,4.707472952483845,61.7362632014406,3.4133346980650816,59.79972745412956,3.352208863255964,61.061955516620436,3.6357681933753043,58.04424003504162,3.9040637088290926,59.603591765221196,4.391326625796643,57.939601888353536,3.741605982310894,57.50474521828005,4.287395232039805,61.60607387939846,2.728557890354338,57.39085997955906,3.755047467132118
57.56479205704136,5.195146751392167,58.49706762708978,6.929329388360794,58.53624704937581,5.455078848343127,63.50010950770204,4.183475137472132,52.8323558756966,4.872893189402162,63.18667412941377,3.668201585816456,65.07872387024557,3.8394451261596365,64.78694668191662,4.355837145856585,63.98778380746113,3.5773911927247037,57.06592363662911,3.590280141582456,62.029542744506365,5.3584977363115245,64.02379967391039,2.5286228990496182,61.576667558951634,3.7749247752727144,62.92823595259533,2.965986269857136,59.535930693792125,4.215029629501595,61.15567128221352,4.508584714019825,59.1110408098703,3.653293499096865,58.048572749616724,4.641901419841814,63.18667412941377,3.668201585816456,58.69661499525468,4.46685493356986
58.67979168694637,4.376096767823245,57.77815633213275,6.601604203649068,59.332230117784476,4.915417840182934,64.26628054122457,4.049626539183939,53.25586488854278,4.722774207662432,65.03869366300009,2.9375769315564284,67.11914727927578,2.9414316957442384,66.49664168207924,3.7489165151768953,65.42124987832182,2.9289642197820767,59.33539375060839,2.8802970568703556,63.648155358707285,4.463829741750264,65.92864791200233,2.9802936228002475,64.6970213180181,3.8216367221512857,64.55100749537623,2.9204192285581745,61.99260196631947,3.9838316514860788,63.15608877640416,4.783103257203775,61.552126934683145,5.237913459274965,59.36264966416822,5.13980028911927,65.03869366300009,2.9375769315564284,60.83300885817191,4.630679419791878
59.59626195517268,2.5943169391764935,59.28135114745321,7.05090789161087,61.35528461220218,4.813555229395191,65.78399162833712,3.1898193184148935,55.18142658976418,4.751887330918257,66.32912316565671,2.5216521739057844,68.47849894137403,2.4208440746215163,67.73113333820058,3.2061834967189085,66.36927794407535,2.377508567238574,60.583096055097215,3.4383264535380933,65.66012022097296,3.6286837833598087,68.32664087026356,2.8080409560269657,66.29359227081355,3.2466702711549256,65.76257574651382,2.81124475133433,62.631233116740894,3.2370721456516383,63.65408483609549,4.139185335203279,63.774792533644835,3.013224817177712,60.89338297924119,4.956867814691784,66.32912316565671,2.5216521739057844,61.613492005548665,4.535479176151665
60.771720613287904,2.50041874009329,59.488196641518606,6.930968283241366,61.8337795083962,4.723419876661955,66.42832806035531,3.0905422040191683,55.86736432221952,4.623074346779053,66.83937697736675,2.3885159169897667,69.25699683621319,2.4870760122567495,68.82988561693841,3.0308039969976175,67.19420783645657,2.212589856201734,61.75882209783403,2.3376793633874544,66.20248235580434,3.5118158726112934,68.85665612071062,2.360190882181526,67.42686785105865,4.202789281977203,66.73326843514238,2.6152892599746527,64.08517887563883,3.246457057780132,64.52129471890972,4.8453177755287715,66.20905329763931,3.6639844372259387,61.088342662448284,3.7098353193329667,66.83937697736675,2.3885159169897667,62.459479192017525,3.1234437010945157
