random : rwll,uncnormprop++switchKkde : rwll0010,uncnormswitchK : rwll0010,uncnormprop++ : rwll0010,unc : rwll0010,uncnormprop : rwll0010,unc : rwll,uncnormprop++kde : rwll0010,uncnormpropdecaytau : rwll0010,uncnormprop++decaytaukde : rwll0010,vopt : rwll0100,uncnormprop++decaytau : rwll0010,uncnormkde : rwll0010,uncnormprop++switchK : rwll0010,mcvopt : rwll,uncnormdecaytaukde : rwll0010,uncnormdecaytau : rwll0010,uncnorm : rwll,uncnormpropswitchK : rwll0010,uncnorm : rwll0010
34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163,34.85641769949163
46.07966807501748,45.99151949907292,44.06668895711116,43.50132222863917,42.49141311286057,46.75750022797045,29.958357396881365,46.89352259947111,45.40867503571537,46.61083923523511,45.91324964284629,35.15532387002644,44.21107024529621,44.5895012006444,47.17316635764005,44.23158758624882,44.099364722331984,35.21763579440105,42.781695492264205,44.06668895711116
52.36369162962119,52.158516660967365,50.198715756677686,51.49359778107071,49.077852501994755,49.474524108058816,41.40278885975911,45.71678255252859,39.84801854173791,40.201375432197274,38.173182871689654,46.04506250237471,50.267107412895626,43.623237964968276,52.38572894106919,50.93202629279228,49.49960104867206,45.03970515597097,40.30548273110681,50.198715756677686
54.01994011885041,51.52210587108835,47.03329939054972,54.534401264495344,54.16964299284162,49.04782892837059,39.830843351520585,47.06065626092375,37.87254738057966,39.05801176345426,45.7954010061249,49.68615590376461,50.60869036582215,47.72178062829612,54.61875161481527,51.62317430885906,52.43248172409076,48.79401796434488,39.43948812255878,47.03329939054972
55.22254223248957,49.20398501440046,46.962224434430404,49.17130850425175,53.19887835979117,50.52244420295912,44.67714848054228,52.850835530765316,45.621727599492374,38.82957300160343,43.71965074130083,46.8299985561542,53.38125888155145,53.07121199455898,57.24164659214396,55.3752859194638,53.85848791349084,54.2065307425167,43.224183657185414,46.962224434430404
52.25925588181652,49.74314547996839,49.13596571220135,48.71192777676455,54.955468417532984,52.42263967414433,48.64961395829534,55.215362636026505,49.034895738342755,38.97197398018117,44.47002857316554,50.31460879080795,55.41826250835917,53.7099519727643,59.36455103653717,54.102832998966505,54.46227734208767,52.94470788497781,42.25636816827771,49.13596571220135
49.9327461604517,49.47982764778746,47.11188455137509,48.491918140298345,54.23547203076198,52.57350426700914,49.430432172413006,57.13688626121847,47.71526928133383,43.9961699508325,48.38932753759756,51.72770174252039,53.205006421411795,58.217507276333485,59.35132341877484,56.14973668411974,53.5887712685518,56.062344689226464,45.48791330714106,47.11188455137509
51.88008207310586,54.02006231476556,47.50588950528156,49.46880462041189,55.90698381335968,54.806596245915344,47.822022950072196,58.489246903260124,49.916407021810166,44.44258682270689,51.39068318261266,54.41066950376168,52.751728854776196,59.078957367581125,60.65962459153431,55.03989664868151,55.125009499202065,53.40983357397979,47.46713276084809,47.50588950528156
55.31693378625873,56.39985105137968,48.850587815090925,52.53554628426388,56.418089657950134,52.402556444687626,50.08169375859684,59.62960429823161,49.8149541375039,48.57852860041493,49.624968652394955,56.01456048757875,51.52558344542477,60.62132853050027,58.70475495672131,56.92953058386339,55.17938429503986,51.09773613295944,50.150848475176495,48.850587815090925
56.227011581603186,55.80752044259355,50.759947715597164,52.98659452229687,58.32598717208256,53.724503754141715,50.77058698361553,57.946013314283974,46.77782168586801,47.2368301060887,52.66741648174606,56.793932577438675,53.57251421102228,60.25245463112138,59.48566738608384,58.64744505578016,56.527950876979666,52.61346019393866,51.82159467428641,50.759947715597164
