mcvopt : rwll : avg,mcvopt : rwll : std,random : rwll : avg,random : rwll : std,sopt : rwll0010 : avg,sopt : rwll0010 : std,unc : rwll : avg,unc : rwll : std,unc : rwll0010 : avg,unc : rwll0010 : std,uncnorm : rwll : avg,uncnorm : rwll : std,uncnorm : rwll0010 : avg,uncnorm : rwll0010 : std,uncnormdecaytau : rwll0010 : avg,uncnormdecaytau : rwll0010 : std,uncnormdecaytaukde : rwll0010 : avg,uncnormdecaytaukde : rwll0010 : std,uncnormkde : rwll0010 : avg,uncnormkde : rwll0010 : std,uncnormprop : rwll0010 : avg,uncnormprop : rwll0010 : std,uncnormprop++ : rwll0010 : avg,uncnormprop++ : rwll0010 : std,uncnormprop++decaytau : rwll0010 : avg,uncnormprop++decaytau : rwll0010 : std,uncnormprop++decaytaukde : rwll0010 : avg,uncnormprop++decaytaukde : rwll0010 : std,uncnormprop++kde : rwll0010 : avg,uncnormprop++kde : rwll0010 : std,uncnormprop++switchK : rwll0010 : avg,uncnormprop++switchK : rwll0010 : std,uncnormprop++switchKkde : rwll0010 : avg,uncnormprop++switchKkde : rwll0010 : std,uncnormpropdecaytau : rwll0010 : avg,uncnormpropdecaytau : rwll0010 : std,uncnormpropswitchK : rwll0010 : avg,uncnormpropswitchK : rwll0010 : std,uncnormswitchK : rwll0010 : avg,uncnormswitchK : rwll0010 : std,vopt : rwll0100 : avg,vopt : rwll0100 : std
75.04168633002988,1.4341077405552165,75.64388576658516,1.6970055857862385,71.4472235331131,2.7120427424737463,77.13558425214867,3.8871947013381813,78.32639752885152,1.1140917921889206,69.65106468173953,3.4376879035335546,79.35175254193659,0.6520277267842278,82.29982696240366,1.604754084099129,81.94002316701703,1.2912418145904956,79.02212307120281,0.8876898119887,77.63825131923292,1.0412745510755852,77.98861670027316,1.5687344742446263,81.01863371802021,1.7423470168973236,81.23843436726871,1.8118488180006602,77.53357072375478,1.2198741386679988,80.0521972914611,2.493359666912311,80.18505012370042,1.713968513336968,80.29273385101604,2.560265006539826,79.02026398958915,2.7453693486051445,81.10672558525319,1.2672800092911243,74.80186480186481,0.9726428889307848
75.32062466035525,1.4541133899638854,75.96959643051227,1.8513772945158729,71.47198466950776,2.7276614629892877,77.30200497668963,3.932342837006444,78.14346594971828,1.065961286087967,69.52363927580585,3.4718866334801657,79.50419014386638,0.6858755658510689,82.1658610531133,1.623729001199936,81.76715384835398,1.2958158080419353,78.97963561479278,0.8156092151248368,77.62577582015274,0.9918309642474813,78.20052627062896,1.5903892856687711,81.3085261562223,1.614235838479716,81.357148986071,1.89931192496406,77.80110402425422,1.1639838797685105,79.6672196321826,2.5307759491661943,80.41157795383691,1.7002456980238243,80.39727712152846,2.3901526735157104,78.90884649486601,2.684167541404076,81.00606355289877,1.1698544197562637,74.6157366358722,1.3818438943124913
75.46657132642116,1.3351979815999824,76.15316410439758,1.5821536941077199,71.42953164104397,2.865497892181422,77.50690025026815,3.9921369298012466,78.22323918484089,1.027249199134452,69.53178405434394,3.5291159431110346,79.39063282087952,0.6103425340857737,82.2655702538434,1.5165023093512404,82.18991776903825,1.0564740417565552,79.05970682874508,0.8202432572254078,77.83425098319628,0.9750874796444459,78.18291026099392,1.526218710404058,80.97504469074008,1.709572022072834,81.47300679299249,1.9267523193263152,78.0461923489453,1.224297354570036,80.0589202717197,2.4238062637473687,80.40143010368253,1.6805074135730607,80.463639613872,2.2086713878509006,79.30911691097603,2.54134047431034,81.03839828387558,1.4487710441237789,74.74722917411512,1.107765918993202
75.62882558206051,1.4150226717341698,76.08489216864024,1.6914765862085899,71.19115039185401,2.354500195718202,77.56592872261312,4.0300121032368486,78.22492992391739,1.0344614881727456,69.41021680681884,3.642292481379441,79.44868714604426,0.6457234723282752,82.3678565299468,1.3023875102355285,82.22455809164235,1.1612238196856617,79.08729477718666,0.8947995401892453,77.93304158800984,0.9781385117924732,78.27198100795148,1.6367401097775565,81.17684915050627,1.6235990192493905,81.51378639665924,1.959732352534013,78.03086207882843,1.2680476190764414,80.05877810193925,2.244527781336972,80.56060866083176,1.783578877499818,80.61681253932842,2.3103235784168197,79.46012813912247,2.688060201445001,81.10362679480579,1.3544491862296697,74.91004519192266,1.0307351109367315
75.66909314531699,1.4545198257716772,75.93467099523761,1.6895063552715481,71.16871415700128,2.043927305977472,77.60436480128139,4.033635686491163,78.2240464510962,0.9772690214688465,69.53205669093146,3.814151721228883,79.65018663386869,0.6599576645763603,82.41251090485248,1.2581319431913136,82.31011255237904,1.282491127719622,78.97444331621928,0.8212597169277238,77.99422221586602,0.9519140460767189,78.32229738426554,1.6129800694142653,81.08304849620296,1.4895113517802174,81.47719634455044,2.0198118942505414,78.09218712011786,1.2849433599121656,80.08895499334982,2.4257986022913274,80.39471990618253,1.7965344246781219,80.69876864551006,2.157519177420538,80.0048624915979,2.0134508662868402,81.11351057591921,1.3234893677814874,75.06299786908457,1.2793746154817103
75.81319184233861,1.3579217035960138,76.00697920540031,1.6183219814919005,71.33148365321358,2.201606692384179,77.93226738365607,4.23731936830646,78.29724550213095,0.8712435840921627,69.61700180200795,3.955985163448018,79.86170304053088,0.6955251376498651,82.24121163582278,1.4546098954672881,82.41526272131804,1.180957377591043,79.20954778181402,0.7827737488824914,78.19084122307716,0.889552814468979,78.52549984268185,1.6329169755582955,80.67489488286947,1.851709769897144,81.19404479276908,2.1727035343233205,78.07328165670319,1.2587778114723125,79.9778324418638,2.691313473024921,80.27273247332741,2.160506362762798,80.69262892937846,2.125303826812421,80.18234604273334,1.759473693926362,81.32747919109866,1.0206385215255893,75.17676839907325,1.1781989960351038
75.84531113685446,1.2581771563676478,75.9634444587463,1.5089087596934727,71.38685087455843,2.105082077129568,78.08040502853218,4.271999754014224,78.43737932809886,0.811431038685197,70.14816721728809,3.6776195418843294,79.68993578467126,0.6233062770933105,82.41000557772344,1.4385966319578878,82.5411535876203,1.2566551244108455,79.18794067590565,0.889637687684672,78.20955077873602,1.066083224798625,78.89761302040874,1.5916739924596275,80.51458074112212,2.026637965824679,81.41845797399924,1.8996019858866007,78.13446604024541,1.214112627049027,80.1315770655454,2.6636107169882153,80.26558544643242,2.262837777348923,80.39501723373522,2.432555921334985,79.91647716708857,1.91988744353844,81.30061068920638,1.202034417468377,75.27509617997454,0.9461680612771396
76.10826659038901,1.3164544213874554,76.2162471395881,1.4860229642739482,71.3508295194508,2.163975166857804,78.29433638443938,4.459350326769692,78.57379862700228,0.9051183072236886,70.32537185354691,3.889657646169271,79.87857551487414,0.6446905998708334,82.47654462242562,1.4800579678477825,82.29033180778032,1.2026268723618327,79.19136155606407,1.0005580582495421,78.25815217391305,1.0193866422813385,78.88000572082379,1.5950786883590562,80.8312356979405,1.9686935086259791,81.25586384439359,1.8433851693058554,78.11670480549199,1.2893715225956948,80.18935926773455,2.5787558158675368,80.07651601830663,2.1284466261893167,80.2937643020595,2.5810053237031148,79.7741704805492,1.9445953858730276,81.5479118993135,1.0744816721740058,75.43149313501144,1.1844639030302953
76.16756532559104,1.2779453808387555,76.27240092106581,1.5782319228460189,71.44510075945023,1.7861846771917695,78.5109912899212,4.275650651874263,78.69506142822408,0.8638673567599678,70.34725897109513,3.7363259592310016,79.98584075859209,0.6131299193872504,82.70884881076674,1.485973270996021,82.37918162445115,0.9765260902031349,79.31363434831732,1.001071041656466,78.16130093393785,1.0953788723003761,78.90244425692586,1.4816791858795313,81.08425463750912,1.5370767736552098,80.9333657517985,2.122398331611534,78.30403752914086,1.2396661262914876,80.19536892690112,2.7745415259357107,80.18392711566241,2.1465302549912937,80.25386518685907,2.67370236608971,79.97268267566754,1.6090267562066558,81.38259986555872,1.1678289398968145,75.5078018850384,1.0073611726833283
76.36846019622988,1.4175919807543786,76.51548957350039,1.5363287370132757,71.62590463113935,1.7862853661603169,78.63010955690953,3.7690483454494452,78.760548070597,0.8880169524473067,69.86098000514889,3.8020584124497776,79.95337395234417,0.729323474826249,82.72547841757486,1.4353010044384344,82.23976658371235,0.9307457573314589,79.21508052289826,0.9276152009818059,78.19989130123858,1.0645270407914686,79.05975571383622,1.454582574067502,80.92293829915045,1.4000053858483608,80.87073428873823,2.0787945911230525,78.29972253210904,1.1648990073881067,80.22955462112762,2.857462025826182,80.38273405989875,2.304145892281331,80.11155925512745,2.6780563532543566,80.11141623044138,1.685619808570395,81.3793300723705,1.3426341829232413,75.5712405961269,1.3248602098146471
