random : rwll,uncnormprop++switchKkde : rwll0010,uncnormswitchK : rwll0010,uncnormprop++ : rwll0010,unc : rwll0010,uncnormprop : rwll0010,unc : rwll,uncnormprop++kde : rwll0010,unc : laplace,uncnormpropdecaytau : rwll0010,uncnormprop++decaytaukde : rwll0010,vopt : rwll0100,uncnormprop++decaytau : rwll0010,uncnormkde : rwll0010,uncnormprop++switchK : rwll0010,mcvopt : rwll,voptfull : laplace,uncnormdecaytaukde : rwll0010,uncnormdecaytau : rwll0010,uncnorm : rwll,uncnormpropswitchK : rwll0010,uncnorm : rwll0010
3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897
5.73444515715202,7.6715843489416295,7.6715843489416295,7.658755612572162,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.658755612572162,7.6715843489416295,7.6715843489416295,7.658755612572162,4.810776138550353,7.6715843489416295,7.6715843489416295,7.658755612572162,5.95253367543297,4.631173829377806,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295
6.581986143187067,11.483192199127535,11.47036181678214,11.496022581472928,11.47036181678214,11.47036181678214,9.083910700538876,11.47036181678214,11.496022581472928,9.635617141390814,11.47036181678214,9.930715935334874,11.47036181678214,11.47036181678214,11.457531434436746,9.815242494226329,4.824223761868104,11.47036181678214,11.47036181678214,5.594046702591737,11.508852963818322,11.47036181678214
12.177595277813422,13.768766842037726,15.295778262543308,11.70281021429488,15.295778262543308,15.308610291287053,13.948415244450148,11.651482099319903,11.26652123700757,13.589118439625304,13.460798152187861,7.7633773899653535,11.920954702938534,15.295778262543308,13.589118439625304,14.859489285255998,3.9266007955857822,15.295778262543308,15.295778262543308,7.429744642627999,11.523161811882458,15.295778262543308
12.333162217659138,17.594969199178646,17.517967145790553,15.451745379876797,17.517967145790553,15.451745379876797,18.6088295687885,15.47741273100616,11.486139630390143,14.373716632443532,16.914784394250514,11.60164271047228,15.567248459958932,17.517967145790553,15.464579055441478,16.96611909650924,7.918377823408624,17.517967145790553,17.517967145790553,11.61447638603696,15.32340862422998,17.517967145790553
14.863303812090875,20.71621101270697,17.687074829931973,19.30432550378642,17.687074829931973,19.30432550378642,20.80605827236555,19.727891156462587,15.286869464767038,18.47002952124246,17.41753305095623,14.529585419073289,19.445514054678476,17.687074829931973,15.620587857784622,15.248363496341932,13.143370555769478,17.687074829931973,17.687074829931973,11.615967141573611,19.163136952894366,17.687074829931973
19.897304236200256,23.080872913992298,20.06418485237484,21.322207958921695,20.06418485237484,22.836970474967906,21.078305519897306,22.053915275994864,19.07573812580231,22.374839537869065,20.66752246469833,18.677792041078305,21.553273427471115,20.06418485237484,17.881899871630296,17.342747111681643,14.72400513478819,20.06418485237484,20.06418485237484,12.82413350449294,23.042362002567394,20.06418485237484
20.413403517781486,25.394787520862756,20.10527667223007,25.086660675311336,20.10527667223007,26.69148799589164,15.213762999101297,22.287841828219282,19.142380279881884,26.10091154191809,17.678777763512645,22.827063807934266,21.91552188984465,20.10527667223007,17.922711516240852,22.78854795224034,17.627423289254075,20.10527667223007,20.10527667223007,13.13390679162922,26.66581075876236,20.10527667223007
20.76271186440678,26.438109912686183,23.831535695942474,27.19568567026194,23.831535695942474,27.465331278890602,17.02619414483821,26.45095017976374,22.817154596815612,29.892141756548536,21.289162814586543,24.80739599383667,25.78325629173087,23.831535695942474,21.494607087827426,28.03030303030303,22.598870056497177,23.831535695942474,23.831535695942474,15.63944530046225,26.874678993323062,23.831535695942474
21.047900346731733,29.17683318351098,25.837935019904968,27.263387697444458,25.837935019904968,30.139976884551174,20.71401053037113,28.43200205470656,22.8586105046873,30.088609220495698,22.473353024271223,28.072428406318224,29.651984076024142,25.837935019904968,23.487864389366894,29.74187748812123,22.82008475664569,25.837935019904968,25.837935019904968,16.758700398099396,30.448182868884036,25.837935019904968
