random : rwll,uncnormswitchK : rwll0010,vopt : rwll0100,mcvopt : rwll,uncnormdecaytau : rwll0010,uncnorm : rwll,uncnorm : rwll0010
32.498955127474446,32.498955127474446,32.498955127474446,32.498955127474446,32.498955127474446,32.498955127474446,32.498955127474446
32.528078787786676,32.90955514689119,31.97334224964664,30.889706217608705,32.93995166952901,33.009103758530024,32.90955514689119
34.403045754713396,33.78371189956913,33.99724909379678,33.06558859513804,33.01847362701663,32.80645627047031,33.78371189956913
35.224025776642954,35.111556933552194,32.571888868624235,33.002006200984866,33.91467566417411,31.288376193081646,35.111556933552194
34.6307878198357,35.44163354636715,33.10712738713134,34.79493278415697,34.37849093023079,32.02118685928369,35.44163354636715
35.27395698761304,34.8696709476404,33.81411961395243,35.094612052587586,35.519416369025,32.387719431567746,34.8696709476404
36.956736505330994,35.29170371383626,33.36829066259338,35.9938900667989,36.40577859851507,31.619664257650715,35.29170371383626
35.23877557224063,35.33148919354348,34.19232756786333,36.271544517737176,38.24208894428063,32.053074748457306,35.33148919354348
34.25110383244545,35.75353188384871,34.63640025230456,36.77186956158283,38.37157165981442,33.11345345664845,35.75353188384871
34.92012828112413,36.1117444104996,34.78637545027586,37.622543431672064,41.38206192148101,32.2724301977414,36.1117444104996
34.84515712277235,38.68526047801801,35.91974769160618,38.79849526921762,42.24265683778546,32.019607098073486,38.68526047801801
36.14269212062257,39.30037086575876,37.0614968385214,39.66287694552529,43.585086332684824,32.61642752918288,39.30037086575876
38.24430207549607,40.04468662365199,37.95551097026212,40.19440201241802,46.646603284618834,32.75347119308725,40.04468662365199
38.9270568922801,41.112006201456126,39.00609505859464,40.41890228146707,47.356021340304906,32.35776929975225,41.112006201456126
38.51771912358167,42.678654212994275,40.32193097787675,41.25443643079168,47.964371755800606,32.617171172129716,42.678654212994275
39.405684754521964,44.25140598875209,42.510259917920656,41.81182550539596,49.704362365101076,33.20337437300502,44.25140598875209
40.37422385031046,44.91674203330319,44.86050205579918,42.26814309274276,50.44421982231207,33.85570645771742,44.91674203330319
40.63293255711441,46.74109653589506,45.962090927054675,42.42578546565535,51.00016720120385,33.383240359330586,46.74109653589506
41.194129673119164,47.405701604383744,46.04756150391026,44.9767056552437,51.97488922836058,34.22938659492161,47.405701604383744
41.5987718124886,48.49592630874932,47.387821487201315,45.848787012829085,53.03322794430595,34.32996899130541,48.49592630874932
42.23218696560897,49.65608968269048,47.2103363100893,46.79764392931788,53.02071062131864,34.876686300589014,49.65608968269048
42.70980588870142,50.82463100612583,47.514706552966395,47.04272880660313,53.08647605149954,35.156641889735056,50.82463100612583
43.68601460786027,50.697331519384676,49.759449127100545,47.79476032316661,54.22465095422313,35.5331260972996,50.697331519384676
44.3612622746481,50.59131122123248,50.064603411060105,48.7071717386678,56.13960417110023,35.67704374790989,50.59131122123248
44.98331699234634,51.44218710810133,49.90689437642033,48.44304595997598,56.881075616967266,36.323353930577404,51.44218710810133
45.237516151098276,52.400243216538726,51.01390894580832,49.63289503686251,57.442426084973775,37.367180968305846,52.400243216538726
