uncnormprop++decaytau : rwll0010,unc : rwll,uncnormprop++ : rwll0010,uncnormprop++kde : rwll0010,vopt : rwll0100,uncnormprop : rwll0010,uncnormprop++decaytaukde : rwll0010,unc : rwll0010,uncnormprop++switchKkde : rwll0010,mcvopt : rwll,uncnorm : rwll,uncnormkde : rwll0010,uncnorm : rwll0010,uncnormpropdecaytau : rwll0010,uncnormdecaytau : rwll0010,uncnormswitchK : rwll0010,random : rwll,sopt : rwll0100,uncnormdecaytaukde : rwll0010,uncnormprop++switchK : rwll0010,uncnormpropswitchK : rwll0010
42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659,42.05415017059659
57.7502355694702,58.337639441928324,31.169640414602267,56.6301407337609,59.694063649351044,58.756345177664976,55.23268184443296,29.368673819872946,25.502294902580626,59.694063649351044,55.60123408006322,55.58375634517766,55.84364266391076,59.153773670932246,55.84364266391076,55.84364266391076,28.750113985227514,54.114106811757196,55.58375634517766,56.40217027873187,55.18860755646068
64.518408754132,64.5252479197538,26.34446597515103,64.25852046050382,63.30027736616133,63.73646415137353,62.87320946844485,52.80519776587256,37.64960674797675,65.08301987157567,62.81393669972263,50.15540104107299,41.61176336486949,49.19943766860443,60.1816178426232,41.61176336486949,50.59690717732437,45.40750028496523,61.861012956419316,61.55325050343858,63.3922261484099
65.78263446661703,66.22794352326093,29.887380883626914,66.01136829946654,59.39784488654498,56.539051932458925,65.73324011733058,60.56203170357311,55.2943143304406,66.46655622596775,65.33656549690716,39.792847698223326,50.25305105095977,58.59917625423652,55.379424593826464,50.25305105095977,43.697281031050046,55.137772238855874,61.574235907412195,61.44201103393772,65.449792543733
66.39562894682848,66.14637556708944,32.80493643278898,65.67522588587539,63.09454150296748,62.820210801486404,66.27860144536564,54.942132180283146,51.57721155380605,65.7481780945795,64.22454081904053,53.61227420911447,50.63187251601529,63.36431269140456,60.713715775155215,50.63187251601529,31.595905557286482,61.46907510277902,63.907654662482045,64.72532733504062,66.40550789175715
66.30494254969906,65.55565687883762,51.73110827405921,66.8080126451456,62.25454434920056,59.941333819685084,67.27004681135631,49.561523496869114,57.13873183780169,66.33913915739559,62.181591586114656,62.45060489999392,57.784667760958115,61.7560338014469,58.31965469025473,57.784667760958115,42.79439479603624,64.84816706182747,61.94829472916287,60.97407137211989,66.3072223235455
66.33736349750363,64.73011072185788,59.91747155960514,67.00762210181547,63.19581126368825,63.19581126368825,68.04720687585018,56.3556778199117,63.98841866085067,67.37998799309983,65.57819303751776,59.111185415415946,62.069594425150655,57.27519359226695,61.42593338450198,62.069594425150655,57.04341482320219,65.64658677265163,58.666626137045846,64.12596606150876,66.16029971654596
66.11444638650353,65.16528611596625,65.02545786153964,66.78471008435291,60.481039592674215,64.38103199331256,68.22630899004484,60.00075993616536,62.66585606809028,67.91093548141956,66.37890417204954,55.688882133900755,59.74010183144616,62.5951820047116,58.48392735010259,59.74010183144616,63.4455505737518,66.35534615092332,61.478075841629305,67.61684018542442,65.9427008131317
66.09823009522073,64.98415521054191,57.151433630470635,67.3794922067954,57.915935222548995,65.60806754363966,68.19794967664471,56.18022783059374,67.06943589509761,67.4410475039707,65.59894824035443,59.025450455585194,63.234768863658815,66.8566521517756,61.17228643731619,63.234768863658815,65.81249192561688,66.77077871250637,58.94033695825639,68.15995257962291,65.94092211355053
66.78268535124784,65.68836064078792,60.505517220415236,67.07982490804632,62.77244125604158,65.98322035443961,67.93020640179955,59.16268960695504,68.508526613369,67.86561084597379,65.88670699455878,61.94865793233426,64.84481867647506,67.12238198011977,63.022464054473055,64.84481867647506,68.16579019363468,66.93847463294526,61.28218378575554,64.09171049031826,65.7210383925586
