uncnormprop++decaytau : rwll0010,unc : rwll,uncnormprop++ : rwll0010,uncnormprop++kde : rwll0010,vopt : rwll0100,soptfull : rwll,uncnormprop : rwll0010,uncnormprop++decaytaukde : rwll0010,unc : rwll0010,uncnormprop++switchKkde : rwll0010,mcvopt : rwll,uncnorm : rwll,uncnormkde : rwll0010,uncnorm : rwll0010,uncnormpropdecaytau : rwll0010,uncnormdecaytau : rwll0010,sopt : rwll0010,uncnormswitchK : rwll0010,random : rwll,uncnormdecaytaukde : rwll0010,uncnormprop++switchK : rwll0010,voptfull : rwll,uncnormpropswitchK : rwll0010
42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655,42.82612111947655
32.27613006457512,39.76655808903366,32.57471855534602,32.30898908509057,41.46665523744214,42.26812960740614,42.05240299445683,32.6718669638265,32.62186410652037,41.99097091262358,40.00942911023487,40.29373107034688,32.6718669638265,32.62186410652037,42.64957997599863,32.62186410652037,42.739585119149666,32.62186410652037,42.61814960854906,32.6718669638265,43.05674609977713,42.26812960740614,38.91793816789531
49.73212372312308,40.31002214443889,44.511750839345666,42.9259232802343,43.767411957997,45.58468462033002,47.7391242231588,51.793699549967855,47.65197514108151,44.747481962997355,41.11293663833131,41.07579112793771,47.999142795914,47.64054575326809,44.0645760411458,47.65340381455818,50.80362883063076,47.64054575326809,45.37038359882849,48.04771769412101,42.145867561968714,45.58468462033002,46.863347381955855
55.857644940994945,49.42423636311684,56.134811555276166,38.62188187558934,56.32482784238649,44.50238591879304,51.72871960453753,57.00345743920907,54.47752664514101,38.313283995771066,60.25802211618139,50.67862959682258,54.721833299997144,50.22716232819956,46.46541132097037,53.30742635083007,48.01125810783781,50.22716232819956,48.17412921107523,52.72594793839472,47.51121524702117,44.50238591879304,50.02285910220876
53.26104038975326,52.61240409755261,63.972111496863974,46.33034732044633,55.42839998285543,44.44444444444444,45.833154744045835,64.41072678696442,55.81272412955581,35.67928221393568,63.7978083522638,53.07102138785307,52.70955666995271,58.41727029845842,46.31463146314631,52.57382881145257,50.90794793765091,58.41727029845842,45.75171802894575,52.62811995485263,49.57210006714957,44.44444444444444,47.50760790364751
58.18664990284604,52.53743284946851,62.99434221053835,49.202766030403474,62.88432963767288,52.145959538232944,46.56532175105726,62.55143444965139,58.66384729683392,39.885986969939424,64.92456280717796,51.96593896445308,60.298319807978054,64.9517087667162,46.411018402103096,60.73837009943993,51.52445993827866,64.9517087667162,45.86524174191336,60.70836667047663,44.727968910732656,52.145959538232944,48.391244713681566
58.34893057678845,59.12045834464431,71.1091426040491,61.226443399865694,70.87339800831535,50.10787101198726,64.26826306239374,64.51400894400709,63.05667871583489,53.02824648883428,66.58856138646398,51.2951665214099,59.30762526610564,69.05173522310011,51.28945150090726,67.71870669086026,59.81769084596591,69.05173522310011,43.74705319255333,67.52439599377063,45.141518195196525,50.10787101198726,51.38089182894944
55.825117873981995,60.33861980282897,67.88826975282183,69.95713673381911,69.35847978282612,60.94156308044006,59.0212887555365,70.02143163309044,64.72210315759393,54.626375196456635,66.64952136019431,51.67452493213316,66.0937276753822,69.87998285469352,53.77482497499643,65.53079011287326,65.74653521931704,69.87998285469352,43.46049435633662,65.76796685240748,44.252036005143594,60.94156308044006,48.62551793113302
59.9265598879824,61.34535426995671,67.22056323136493,63.55427281429939,64.9530640529226,60.315192387375156,55.3244081212762,67.60919573075769,71.21547671776993,61.252482532969466,66.69333752446813,51.7938533198074,68.5236251410936,73.79159582220063,52.61969738101702,70.77826515595308,58.862106902513254,73.79159582220063,44.076926374144506,70.79112431953592,56.60603809170012,60.315192387375156,58.96212261926874
55.76956049608504,58.257129793678914,68.15311196205063,61.46339372463851,64.38675201463109,59.67737326398811,60.320340629822255,71.36937760758987,72.13522318111676,67.21866605703835,62.9465051151626,51.12447848202549,73.37829342172944,73.20969309024404,61.713436589129564,69.88626621706578,58.54003543464594,73.20969309024404,44.56764016688575,73.63690918443162,57.65559810253186,59.67737326398811,54.699377036063325
