uncnormprop++decaytau : rwll0010,unc : rwll,uncnormprop++ : rwll0010,uncnormprop++kde : rwll0010,vopt : rwll0100,soptfull : rwll,uncnormprop : rwll0010,uncnormprop++decaytaukde : rwll0010,unc : rwll0010,uncnormprop++switchKkde : rwll0010,mcvopt : rwll,uncnorm : rwll,uncnormkde : rwll0010,uncnorm : rwll0010,uncnormpropdecaytau : rwll0010,uncnormdecaytau : rwll0010,sopt : rwll0010,uncnormswitchK : rwll0010,random : rwll,sopt : rwll0100,uncnormdecaytaukde : rwll0010,uncnormprop++switchK : rwll0010,voptfull : rwll,uncnormpropswitchK : rwll0010
55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036,55.655242367530036
56.98325618606778,53.880221726955824,56.608949082804735,57.23469912566432,50.60003428767358,53.834504828847365,62.27070118292474,58.190468026744384,57.061832104691696,58.61763529344534,50.60003428767358,53.83021886964969,58.65906623235613,56.9261100634322,49.47568432481856,56.9261100634322,58.58049031373221,56.9261100634322,53.768786787816445,57.95474027087262,58.65906623235613,56.306074632836165,53.834504828847365,57.07897594148237
63.604543181655835,66.29187799128509,65.03178798485607,69.26209014929638,66.48189156368312,48.58347024787485,58.627044788913494,64.3860275733981,65.35609686406171,69.80641474391028,66.12758054146725,52.11657975569683,69.34781055789699,65.48896349739267,54.791056504036,65.55325380384313,51.17936995499679,65.48896349739267,70.48789199228516,64.10743624544611,69.32209443531681,68.86206157582684,48.58347024787485,64.5346096149725
67.89153356001943,60.60948081264108,62.23676315112724,62.96968311569563,58.993628025259305,57.13918335857359,54.4260936651713,61.11238106123382,63.08397862673944,67.37006029088208,60.00800068577307,63.44400948652741,62.81109809412235,58.879332514215506,53.41457839243364,63.40114866988599,61.016658570734634,58.879332514215506,61.9081635568763,58.54930422607652,63.17970111723862,65.2013029688259,57.13918335857359,61.42526502271623
68.48970611346849,66.86525795436687,67.24815338676724,67.86964410726787,66.74667466746675,54.51830897375452,62.12907004986213,69.08833740516909,58.95446687525895,66.6909548097667,68.1096681096681,65.44940208306545,58.53585358535854,58.85302815995885,51.88661723315189,58.97589758975898,51.70659923135171,58.85302815995885,68.06537796636806,62.21050676496221,58.77873501635878,67.94822339376795,54.51830897375452,57.77720629205778
76.00297176820209,74.29134758258087,67.8706137844325,74.07560864098754,65.23888444393646,65.68750714367356,66.69047891187564,75.35004000457195,68.15207452280261,64.01445879529089,62.42999199908561,69.41936221282432,68.07635158303806,68.18064921705337,61.77848897016802,68.1592181963653,65.83752428849012,68.18064921705337,68.26065836095553,65.34603954737685,68.11778488970168,67.71345296605327,65.68750714367356,64.8702708881015
76.12978811561486,81.29759540512352,76.70700518638111,70.24474575302538,61.895100798674115,63.185266677144206,75.14108956865883,85.32668485948193,77.4042376877027,75.3368290208741,61.827949307768144,75.75974053806918,76.84130816819305,77.50996556700147,58.287494106385104,77.58283207841008,73.62089411495764,77.50996556700147,73.99808546813162,64.49543512737353,77.44567158634682,65.4369847551828,63.185266677144206,65.9427640696661
84.76068009715674,81.14873553364767,74.76925275039291,69.87141020145735,72.47749678525504,68.04400628661237,76.0665809401343,93.97199599942849,85.60508644092013,78.8412630375768,71.62308901271611,71.30304329189885,85.76225175025003,85.35933704814974,63.76196599514216,85.38219745677954,70.3643377625375,85.35933704814974,69.15987998285469,71.15587941134447,85.37076725246463,75.25360765823689,68.04400628661237,64.39634233461923
83.06019517352726,82.87873808741374,85.34055351555244,78.6852219634514,71.47694637728786,71.0883138778951,79.60822414950921,86.91222906456728,93.13320664675878,85.50057866236124,78.03369100858707,80.2040320621812,93.77330723399392,92.48167569189444,66.63618568632214,92.37594479132436,82.37008672791438,92.48167569189444,65.24882481532812,68.23929474631728,92.7988683936047,74.27881524239524,71.0883138778951,67.19484490419923
84.79024975710122,90.55552380408069,91.36852031776876,87.39069554780819,77.98622621020746,68.71463679487913,87.12779333600045,91.209921700863,92.32725610104589,86.06046750871577,77.81905469509059,83.05995313482312,93.1645424929988,92.02863348002515,73.594044693376,92.03006229639367,75.83585757558438,92.02863348002515,73.56832599874264,64.75824427044637,92.69589072412414,83.16854317883066,78.3605760987598,75.9987426415957
