uncnormprop++decaytau : rwll0010,unc : rwll,uncnormprop++ : rwll0010,uncnormprop++kde : rwll0010,vopt : rwll0100,uncnormprop : rwll0010,uncnormprop++decaytaukde : rwll0010,unc : rwll0010,uncnormprop++switchKkde : rwll0010,mcvopt : rwll,uncnorm : rwll,uncnormkde : rwll0010,uncnorm : rwll0010,uncnormpropdecaytau : rwll0010,uncnormdecaytau : rwll0010,sopt : rwll0010,uncnormswitchK : rwll0010,random : rwll,sopt : rwll0100,uncnormdecaytaukde : rwll0010,uncnormprop++switchK : rwll0010,uncnormpropswitchK : rwll0010
50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815,50.12643399002815
49.485684896279786,48.92851020058289,55.757471855534604,49.20138293616778,54.347391279501686,47.53271615520887,53.807360420595465,53.51448654208812,54.191668095319734,49.60997771301217,50.91576661523516,56.927538716498084,54.76027201554375,49.22852734441968,55.064575118578205,47.70272587004972,54.76027201554375,50.32430424595691,47.70272587004972,57.058974798559916,52.91588090748043,48.02274415680896
53.92670905064647,50.62933066647618,56.354025287520535,55.155368240588615,60.645760411457964,50.75076791199371,54.40674333880992,56.354025287520535,56.535466819058506,53.0280734338167,53.890992213729554,56.469747839131365,57.044074576755484,49.15922565897564,56.39402814486749,52.89377812700907,57.044074576755484,48.752053718122724,52.89377812700907,57.46553325237517,58.109864990356456,49.11922280162869
57.77066605709061,51.51012943966626,61.691002085893075,55.79906849158499,60.14801268680173,57.970683201417266,59.49652827385204,55.42475069291653,58.656456267680085,61.59670828928194,50.82864245506758,61.19524530674058,61.53527445209589,55.27616652855959,61.42812241049233,62.15818498728463,61.53527445209589,50.94436665999943,62.15818498728463,62.81109809412235,62.43535160156585,52.72451924450667
64.11641164116412,53.10959667395311,64.6964696469647,63.259183061163256,60.88180246596088,63.98496992556399,64.01783035446402,60.51033674796051,57.58147243295758,63.47063277756347,58.89303216035889,61.26041175546126,62.91057677196291,60.56177046276056,62.829140056862826,66.4023545211664,62.91057677196291,50.6979269355507,66.4023545211664,61.10896803966111,66.4009258068664,55.552698126955555
69.76225854383358,58.80957823751286,66.59189621671048,68.70642359126758,62.64287347125386,67.6148702708881,69.33220939535947,64.57452280260601,62.04709109612527,65.93753571836781,62.464281632186534,64.66167562007087,65.62035661218425,66.05326323008345,66.67904903417534,66.65618927877472,65.62035661218425,58.16807635158304,66.65618927877472,65.21316721911076,69.02788890158875,54.69053606126415
74.82962095126516,64.7468960294895,72.41788229915275,66.2599477075624,61.023560172022115,67.9401637353374,76.21265591290309,68.45022931519767,66.48569101741653,71.93924933205697,67.34294409281193,68.02588904287694,69.10745667300081,66.25137517680845,71.47776142646912,67.76442685488134,69.10745667300081,59.78482947807575,67.76442685488134,69.39177894300695,71.8792416167793,54.639882270577644
80.97728246892413,65.3493356193742,70.94727818259751,67.51535933704815,65.44792113159022,68.72410344334905,80.10144306329475,73.29761394484926,72.20460065723675,74.60351478782684,66.93099014144877,73.85055007858266,74.65780825832262,68.219745677954,78.0968709815688,67.70967281040149,74.65780825832262,60.29861408772682,67.70967281040149,76.41377339619946,76.73953421917417,59.025575082154596
82.7087113689294,62.4369543785452,72.0198888396748,68.93511837574476,70.25532583691724,69.76239123290803,79.87969538070269,78.14085070511081,76.91065738901827,76.6106102387518,67.86637900241466,78.19800254325679,79.32246495877924,68.88511051736701,83.53169783823172,66.534741173613,79.32246495877924,59.969423766591895,66.534741173613,81.93859034991213,77.40644958493478,61.26819928845961
83.13710921872321,66.94004686517688,75.51008744356176,73.206835457507,74.42990226896039,71.13790935588958,80.3023375435789,79.64508201405955,77.63330856718295,77.12464993998971,68.48031091044179,79.9651368806081,80.78956392524432,70.00485797565297,84.29302166085614,69.84054409327314,80.78956392524432,61.526261644853406,69.84054409327314,85.19460478939247,80.03086243356005,67.04006401097331
