vopt : rwll0100,mcvopt : rwll,uncnorm : rwll,uncnorm : rwll0010,random : rwll
21.579847258634448,21.579847258634448,21.579847258634448,21.579847258634448,21.579847258634448
25.96015015882183,25.820326154687905,25.906196331139718,25.13412465613934,25.02317734851133
25.159392976830073,27.5554170814557,26.620716907434286,29.53956517443937,25.42916416526715
26.960605507933614,31.074837376132287,29.543589275943827,30.327831479117272,27.4408778649158
30.01725041986154,31.0484759596021,30.747543525013107,31.106230669270694,27.112796467843545
30.10487119081997,32.66813587658637,29.31225777034729,35.32563264685766,30.989436887301466
32.1698622225262,34.379013443372926,32.726899664865606,33.27481780391978,33.7938581492374
32.68991093412773,36.8559443110314,30.900234063896406,34.07453567194577,31.427637778520836
32.90826601411994,36.87978295728301,33.73205559819739,35.3173185801029,37.144246772097546
37.86801027464928,38.91523414344991,33.94814037967565,37.2425637985804,39.35905035490098
37.98533267469696,37.44803739028005,33.528897670707146,38.631302960063834,39.24991450393282
36.8145063229572,42.800036478599225,33.47899440661479,40.5733219844358,36.82742582684825
39.66849821025512,44.56046753759984,33.67456282346504,44.97313482744732,35.202115774834134
40.59065829672752,45.75853840190908,34.38236232919396,47.99516651213692,35.640893131279356
42.10106322341372,45.806765414459534,34.75197786914524,47.876213131075154,36.84650519451897
45.56391548867609,46.13847089223286,35.07751937984496,49.36312509499924,38.31737346101231
45.34538186184726,49.729060108375954,35.30806587677365,49.69182012327195,40.170543931782426
43.77175515663713,48.19042697107419,36.430102296736536,49.10395354846555,41.23029685813738
45.15302826481832,49.16056757640013,38.15104463546061,49.83393754227563,38.821374556343436
46.33519790843315,50.25460570316775,39.263999513589106,51.538274457347846,40.371344318112726
47.507505225156756,51.877636329089874,38.796883906517195,53.116473494204826,44.35873076192286
47.74499521181996,51.66978278383267,39.051028318664784,54.850502378889445,45.68607779652515
49.27378717518032,53.03747729397369,39.93448503872375,56.19085982686418,47.71647678475067
50.06764357158058,53.41410026449397,40.301127899553094,57.05089228711276,47.155929833095186
50.567374269405875,55.60875876902965,40.19350768786435,58.45513068989367,47.63283702335621
52.949760583719694,56.165539256669454,43.68625066504522,58.66990955384966,48.51105875199514
53.32183113043346,56.17204660672347,45.01516314633386,59.05038420904621,48.371576891212975
53.01517086221573,56.12534962908914,44.91441687948437,59.67180469415055,49.27413960841542
54.271967894684835,56.40320141068809,44.07184172322847,61.049503294899175,50.26108370640054
54.848517094082055,57.37880607451773,43.84263411519694,62.4165817916483,51.121110317255216
54.780526735834,56.921673697411926,45.01653175236575,63.39071941625812,51.72500285030213
57.34471435955125,56.673558116202,44.44908941655772,62.9024657201058,51.44340397069107
58.19645341015331,56.8769334843383,44.482111231881305,64.59490890295903,51.34118255132522
58.93951140906949,57.17988476915827,44.469527675164564,65.9802982624162,50.6019975372828
58.61539513989708,58.249025167032784,44.67889420116904,67.22280919117368,50.419197178495146
59.996959562176954,59.46260261477653,46.378838552751596,68.14685314685315,52.67786561264822
61.01901048198907,60.343268039434776,45.59095158826078,68.29179303582423,52.60529496271635
61.57664300156585,60.36044938354186,46.909347968196535,68.0460329284422,52.34421319874124
62.6496499616136,59.79461374157209,48.407914440128614,67.14199928548082,51.948585023982
62.723098908449636,61.12606038493113,49.50819422907355,67.45948493417252,51.60692024689106
62.373151913648286,60.46444452890426,49.25772490593288,67.34673710615331,53.436205389380866
