voptfull : laplace,uncnormprop++decaytau : rwll0010,unc : rwll,uncnormprop++ : rwll0010,uncnormprop++kde : rwll0010,vopt : rwll0100,unc : laplace,uncnormprop : rwll0010,uncnormprop++decaytaukde : rwll0010,unc : rwll0010,uncnormprop++switchKkde : rwll0010,mcvopt : rwll,uncnorm : rwll,uncnormkde : rwll0010,uncnorm : rwll0010,uncnormpropdecaytau : rwll0010,uncnormdecaytau : rwll0010,uncnormswitchK : rwll0010,random : rwll,uncnormdecaytaukde : rwll0010,uncnormprop++switchK : rwll0010,uncnormpropswitchK : rwll0010
3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897,3.8353001539250897
6.683771648492623,7.594611930724824,7.6715843489416295,7.6715843489416295,7.594611930724824,3.822963438101347,7.633098139833226,7.594611930724824,7.594611930724824,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295,7.6715843489416295
10.264305876315115,11.419040287400565,11.380549140364383,11.508852963818322,11.393379522709777,7.069540672312035,7.531434436746215,11.393379522709777,11.419040287400565,11.508852963818322,11.508852963818322,11.496022581472928,11.508852963818322,11.508852963818322,11.508852963818322,11.508852963818322,11.508852963818322,11.508852963818322,11.3420579933282,11.508852963818322,11.508852963818322,11.508852963818322
10.830232259720262,15.244450147568331,15.218786090080842,15.33427434877454,15.205954061337097,10.868728345951494,7.4554087001154885,15.205954061337097,15.244450147568331,15.33427434877454,15.33427434877454,15.218786090080842,15.051969716412165,15.33427434877454,15.33427434877454,15.33427434877454,15.33427434877454,15.33427434877454,15.167457975105863,15.33427434877454,15.33427434877454,15.33427434877454
14.476386036960985,18.352156057494867,19.058008213552363,18.531827515400412,18.31365503080082,14.271047227926077,8.495893223819301,18.942505133470227,18.352156057494867,17.107289527720738,18.45482546201232,18.506160164271048,18.942505133470227,17.107289527720738,17.107289527720738,19.096509240246405,17.107289527720738,17.107289527720738,17.71047227926078,17.107289527720738,17.33829568788501,19.006673511293634
18.213323065075087,21.66602490052625,22.628674111153895,22.436144269028365,21.66602490052625,17.89243999486587,11.15389552047234,18.91926581953536,20.972917468874343,20.382492619689383,22.282120395327944,20.947246823257604,22.11526119881915,20.382492619689383,20.382492619689383,22.936721858554744,20.382492619689383,20.382492619689383,15.18418688230009,20.382492619689383,21.26812989346682,22.75702733923758
21.925545571245188,25.44287548138639,25.58408215661104,26.251604621309372,25.391527599486523,21.514762516046215,11.258023106546855,21.976893453145056,24.77535301668806,24.017971758664956,26.110397946084724,20.92426187419769,20.3594351732991,24.017971758664956,24.017971758664956,26.046213093709884,24.017971758664956,24.017971758664956,16.392811296534017,24.017971758664956,24.929396662387678,26.482670089858793
25.63872127359096,29.00243933752728,25.30491719091026,29.066632430350495,28.912569007574785,23.558865066118887,11.246629862626781,25.651559892155603,28.42470150211837,27.705738862498396,29.72140197714726,22.005392219797148,22.185132879702145,27.705738862498396,27.705738862498396,25.613044036461677,27.705738862498396,27.705738862498396,19.861342919501862,27.705738862498396,27.821286429580177,30.31197843112081
29.37853107344633,29.80225988700565,25.15408320493066,29.815100154083204,30.09758602978942,27.182845403184388,11.890087313816128,29.622496147919875,30.251669234720083,29.95634309193631,30.636877247046737,27.70929635336415,21.725731895223422,29.95634309193631,29.95634309193631,25.719054956343093,29.95634309193631,29.95634309193631,24.524910118130457,29.95634309193631,29.866461222393426,32.717000513610685
29.04841402337229,33.51740079619879,27.134968537305767,29.253884679594197,33.77423911647618,28.32926672659561,14.42147168357519,30.627969693078207,33.90265827661487,33.620136124309745,31.60395531013227,32.68267625529729,23.24386798510338,33.59445229228201,33.59445229228201,25.50404520354437,33.59445229228201,33.59445229228201,24.43816617439322,33.59445229228201,33.76139720046231,36.39398998330551
28.602620087336245,37.02799897251477,27.71641407654765,32.840996660673,37.37477523760596,32.91805805291549,15.001284356537374,34.369380940148986,37.54174158746468,37.40046236835345,35.666581042897505,33.81710762907783,23.413819676342154,37.4133059337272,37.4133059337272,25.687130747495505,37.4133059337272,37.4133059337272,24.351399948625737,37.4133059337272,37.4133059337272,38.594913948111994
