uncnormprop++decaytau : rwll0010,unc : rwll,uncnormprop++ : rwll0010,uncnormprop++kde : rwll0010,vopt : rwll0100,soptfull : rwll,uncnormprop : rwll0010,uncnormprop++decaytaukde : rwll0010,unc : rwll0010,uncnormprop++switchKkde : rwll0010,mcvopt : rwll,uncnorm : rwll,uncnormkde : rwll0010,uncnorm : rwll0010,uncnormpropdecaytau : rwll0010,uncnormdecaytau : rwll0010,uncnormswitchK : rwll0010,random : rwll,uncnormdecaytaukde : rwll0010,uncnormprop++switchK : rwll0010,voptfull : rwll,uncnormpropswitchK : rwll0010
49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782,49.43915910362782
51.71541194218697,52.46484013820624,40.72217626161857,52.15095625091245,56.44800233588009,50.654533067302545,41.152854153486786,42.71254075624118,56.406637792593315,56.68645676188622,37.960484695118986,53.586549223806514,56.389605333592876,56.40420458416468,47.69331840965497,56.40420458416468,56.40420458416468,40.59321621490097,56.389605333592876,56.52099858873911,50.654533067302545,40.400992749038885
42.30965763924374,51.942964206633086,45.862228386500234,46.52407718324939,52.23252305521084,49.6775920383483,51.36141324184247,42.280458427622456,52.80677421709614,46.06175633257902,45.18091344867022,49.59486093875466,52.801907681825924,52.93087086648661,45.26121128062876,52.767841934934424,52.93087086648661,46.073922670754555,52.784874808380174,53.24719565905054,49.6775920383483,46.903666934326104
41.887288300564535,46.46194276815262,38.77749659334242,55.67938485497372,54.895853611057035,55.89838427097528,54.26805528518591,50.00973330737785,57.47761339303095,41.98948802803193,49.15806891181624,47.96087210434106,57.441113490364025,57.073681136850304,41.76562195834144,57.441113490364025,57.073681136850304,42.65135292972552,57.34378041658555,43.57845045746544,55.89838427097528,51.175296865875026
44.99330818834408,51.332278866042095,45.742791093807035,53.4079571724054,57.9170215354666,48.57525246380338,63.9299184815671,58.02165713590461,58.62027010585229,54.607616498357466,49.97444944640467,41.53546660177637,58.65677089670276,58.70300523178002,53.12081761771505,58.583769315001824,58.70300523178002,44.83270470860202,58.56673561260494,54.607616498357466,48.57525246380338,42.776493490692296
66.66666666666667,56.655472818416314,53.380055482552194,65.7346571275612,62.56144449311335,50.206842848104344,69.89098165182266,58.6971334014698,65.91473207767557,62.9532291818757,48.03134277510099,48.68593955321945,65.93663308512191,66.13860904268263,57.50231177300822,66.04127123181,66.13860904268263,43.76064632306419,66.09480702778994,61.31308706867183,50.206842848104344,50.26767897989974
64.13501082909498,59.00274986007349,67.58085318667413,69.93648553281581,59.131725598033725,54.04083420533911,62.278246903365535,61.39001776458277,73.55023970019225,60.771907624169565,47.611515343245806,50.01338427469398,73.5429391867228,72.97106563161609,56.912369503321734,73.66948142019322,72.97106563161609,51.88718273185214,73.69138296060156,60.212201591511935,54.04083420533911,57.472075535979364
64.20227781563321,52.99328336415847,71.57597585904799,65.42879392582498,71.38129076219215,65.81086342840456,61.272267107952885,70.21318018105714,73.12858950647328,71.04545897011583,53.15389856906454,51.61345274019274,73.18212790810864,72.56156916188066,56.77747493429378,73.2186313637691,72.56156916188066,46.12820013627957,73.17969434439793,64.06599824783413,65.81086342840456,57.65112430643434
77.01443138400137,58.647879097612616,68.43591054002093,64.41556545228882,70.01533182448712,59.12486919276727,71.39032878245844,70.62373755810275,71.92329220510574,66.9440996811954,60.93791827894186,44.5985738969604,71.29541748801441,71.2637803898664,67.27993964615122,71.04475432576477,71.2637803898664,54.0239955221338,71.75780584556229,66.2943223576939,59.12486919276727,62.196101336058994
72.97882696519835,61.12922852275493,65.75079094670237,63.5410075444147,66.20832319299099,65.14480408858603,62.5188610367486,75.96982234120225,73.6407885130202,72.2195181309321,66.00389389145778,51.98831832562667,73.38038452178145,73.10537843757605,68.19664151861767,72.87174495010952,73.10537843757605,45.307860793380385,68.22341202238988,69.68605500121684,56.14748113896325,55.33463129715259
